x;y;;x;y;;x;y
0,00E+00;2,00E+00;;0,00E+00;2,00E+00;;0,00E+00;2,00E+00
0,00E+00;1,00E+00;;0,00E+00;1,00E+00;;0,00E+00;1,00E+00
0,00E+00;1,00E+00;;0,00E+00;1,00E+00;;0,00E+00;1,00E+00
1,00E-01;2,09E+00;;1,00E-01;2,09E+00;;1,00E-01;2,09E+00
1,00E-01;1,00E+00;;1,00E-01;1,00E+00;;1,00E-01;1,00E+00
1,00E-01;9,96E-01;;1,00E-01;9,95E-01;;1,00E-01;9,95E-01
2,00E-01;2,16E+00;;2,00E-01;2,16E+00;;2,00E-01;2,16E+00
2,00E-01;1,02E+00;;2,00E-01;1,02E+00;;2,00E-01;1,02E+00
2,00E-01;9,81E-01;;2,00E-01;9,81E-01;;2,00E-01;9,80E-01
3,00E-01;2,21E+00;;3,00E-01;2,21E+00;;3,00E-01;2,21E+00
3,00E-01;1,04E+00;;3,00E-01;1,04E+00;;3,00E-01;1,04E+00
3,00E-01;9,57E-01;;3,00E-01;9,56E-01;;3,00E-01;9,56E-01
4,00E-01;2,24E+00;;4,00E-01;2,23E+00;;4,00E-01;2,23E+00
4,00E-01;1,07E+00;;4,00E-01;1,07E+00;;4,00E-01;1,07E+00
4,00E-01;9,23E-01;;4,00E-01;9,22E-01;;4,00E-01;9,22E-01
5,00E-01;2,24E+00;;5,00E-01;2,24E+00;;5,00E-01;2,24E+00
5,00E-01;1,11E+00;;5,00E-01;1,11E+00;;5,00E-01;1,11E+00
5,00E-01;8,80E-01;;5,00E-01;8,79E-01;;5,00E-01;8,78E-01
6,00E-01;2,22E+00;;6,00E-01;2,22E+00;;6,00E-01;2,22E+00
6,00E-01;1,14E+00;;6,00E-01;1,14E+00;;6,00E-01;1,14E+00
6,00E-01;8,28E-01;;6,00E-01;8,27E-01;;6,00E-01;8,26E-01
7,00E-01;2,18E+00;;7,00E-01;2,18E+00;;7,00E-01;2,18E+00
7,00E-01;1,18E+00;;7,00E-01;1,18E+00;;7,00E-01;1,18E+00
7,00E-01;7,68E-01;;7,00E-01;7,66E-01;;7,00E-01;7,66E-01
8,00E-01;2,12E+00;;8,00E-01;2,12E+00;;8,00E-01;2,11E+00
8,00E-01;1,21E+00;;8,00E-01;1,21E+00;;8,00E-01;1,21E+00
8,00E-01;7,00E-01;;8,00E-01;6,98E-01;;8,00E-01;6,97E-01
9,00E-01;2,04E+00;;9,00E-01;2,03E+00;;9,00E-01;2,03E+00
9,00E-01;1,24E+00;;9,00E-01;1,24E+00;;9,00E-01;1,24E+00
9,00E-01;6,24E-01;;9,00E-01;6,23E-01;;9,00E-01;6,22E-01
1,00E+00;1,93E+00;;1,00E+00;1,93E+00;;1,00E+00;1,92E+00
1,00E+00;1,25E+00;;1,00E+00;1,25E+00;;1,00E+00;1,25E+00
1,00E+00;5,43E-01;;1,00E+00;5,42E-01;;1,00E+00;5,41E-01
