x;y
0,00000000000000E+0;2,00000000000000E+0
0,00000000000000E+0;1,00000000000000E+0
0,00000000000000E+0;1,00000000000000E+0
1,00000000000000E-1;2,08984174611609E+0
1,00000000000000E-1;1,00497087380375E+0
1,00000000000000E-1;9,95004164759591E-1
2,00000000000000E-1;2,15880248423124E+0
2,00000000000000E-1;1,01953607585233E+0
2,00000000000000E-1;9,80066576819520E-1
3,00000000000000E-1;2,20619318146768E+0
3,00000000000000E-1;1,04266867438673E+0
3,00000000000000E-1;9,55336487631059E-1
4,00000000000000E-1;2,23154032566660E+0
4,00000000000000E-1;1,07270762990440E+0
4,00000000000000E-1;9,21060992080780E-1
5,00000000000000E-1;2,23459065656491E+0
5,00000000000000E-1;1,10743139756572E+0
5,00000000000000E-1;8,77582559600027E-1
6,00000000000000E-1;2,21531369628780E+0
6,00000000000000E-1;1,14415672451054E+0
6,00000000000000E-1;8,25335612323469E-1
7,00000000000000E-1;2,17390205387342E+0
7,00000000000000E-1;1,17985860111958E+0
7,00000000000000E-1;7,64842184486631E-1
8,00000000000000E-1;2,11076950078676E+0
8,00000000000000E-1;1,21130645446605E+0
8,00000000000000E-1;6,96706706432290E-1
9,00000000000000E-1;2,02654683665174E+0
9,00000000000000E-1;1,23521099852561E+0
9,00000000000000E-1;6,21609965342206E-1
1,00000000000000E+0;1,92207558650965E+0
1,00000000000000E+0;1,24837570626607E+0
1,00000000000000E+0;5,40302303036559E-1
